报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
固定资产净额,0,1760640112,0,1596382071,0,1618612152,0,1596805121,0,1598571677,1677127400,1706108293,1732881435,1650672715,1658894690,1681022167,1693779758,1709408905,1447571419,1483269833,1508608360,1523558108,745974019.2,755275224.9,769916475.9,769563230.7,767871903.7,780700997.3,785776884.6,786762999.4,689564825.7,676225445.4,647626216.9,655242127.6,592340821.9,591124471,596494103.8,609649869.3,429105954.3,431232421,433074166.2,436196146.5,439428529.8,446303530.1,456005122,464507993,397809495.2,405353411.9,413544343.3,420934906.3,314270588.3,314534681.3,321268105.5,330245410.6,306156904.3,308799940.3,315128328.2,320889117.3,326259287.2,332480778.2,335289003.1,342581352.7,347458423.8,347794404.1,353759448.6,359067157.5,324399538.4,330512707.3,336386413.9,340869062.6,335234787,341227978.1,348687571.6,355540308.4,346477137.9,354859386.4,360978343.9,368115517.1,380322632.4,394016920.7,406282237.5,421005642.4,434375771.9,450212955.2,466897380.1,482788518.8,436526781.7,452285535.9,214167313.4,220887911,219077846.5,222951000,225389012.4,215576384.2,89969999,0
固定资产清理,0,1803537.15,0,2268109.46,0,1782340.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,0,0,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,6341010.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无形资产,336934350.7,338952461.7,309185353,310335109,311627918.8,313491062.5,237550284.8,238701975.2,221493932.3,223238293.5,224998925.2,226985974.8,229595471.4,230249376.6,232215470.5,230258969.6,230914133.8,231435051.7,232376013.9,226966133.5,227934732.5,229323225.7,230816609.7,232072237.2,233324632.5,234703213,212213812.3,213461554.5,214640706.9,215886819.7,144942330.8,145902624.3,146862917.8,147823211.2,148768913.8,128708323.7,129347433.8,27179206.69,27489261.7,27799316.71,28109371.72,28419426.73,28705281.74,29039536.75,29349163.81,29659646.77,29005326.77,29920977.77,29615760.77,29920977.77,30253361.44,30616411.77,12536628.77,12691845.77,12847062.77,13002279.77,13157496.77,13312713.77,13475154.77,13631454.77,13787754.77,13944054.77,14100354.77,14244015.77,14399232.77,14554449.77,14709666.77,14864883.77,15020100.77,15175317.77,16106784.77,17038251.77,17969718.77,18901185.77,19832652.77,20764119.77,21695586.77,22627053.77,24489987.77,45914421.77,46380105.77,46845789.77,47311473.77,47777157.77,48242841.77,48708525.77,0,49639893.77,0,50571261.77,51036945.77,0,0,52434000.44,0,0
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期待摊费用,706869.68,7298093.75,7643402.69,8028740.28,8263243.31,8575010.99,8901701.93,9213469.61,9540160.55,9851928.23,6760204.83,6802870.41,6887539.62,6888201.57,7051700.15,6982669.4,7028959.97,7090606.46,7101529.47,7144195.05,7232712.03,7275593.94,7248441.61,7283645.56,7330919.21,7368537.1,6418854.69,6454058.64,6489262.59,6524466.54,6559670.49,6594874.44,6630078.39,6665282.34,6712220.94,6747424.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650000,9000000,11288856.08,15223000,10051464.9,0,0,0,0,0,0,0,0,0,0,0
递延所得税资产,997901863.9,1126833911,927114523.7,775817468.3,619612993.2,833442544.4,734946326.4,641745850.8,514625175.4,565272315.3,414536849,418590298.9,332395509.5,311066654,205428251.5,182500524.2,132266771.1,144035805.5,119947041.6,131396219.3,124351064.8,104841238.6,130261189.1,138705771.3,126787871.2,117060849.1,108093972.3,98907559.28,93348388.22,89821953.43,78183612.27,81531013.75,80283268.34,68453445.67,78488617.35,75569753.65,66051758.74,52771524.98,60038059.99,58872393.11,44434468.9,32725395.29,29356154.53,21653666.38,19402716.62,23892083.16,18047461.61,19718575.46,17368354.27,25756587.25,4008562.6,7882648.54,6628933.53,13390231.77,3761837.48,8754116.76,7561365.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他非流动资产,131712485.3,139506354.9,165554169,143753220.1,196936805.3,112549415.9,92390760.69,103176273.6,72917468.47,83027211.04,55097251.19,51022947.47,52242116.24,65757776.67,76831052.59,81151757.83,63169148.12,68695750.77,81853652.71,79765484.16,101028654.1,70969444.67,69798457.3,101022573.6,97886120.46,88801873.68,78271040,61313364.88,73928663.26,109357511.3,26032053,26032053,26032053,26032053,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,857653,0,0,0,0,0,0,0,0,0,0,0,0,0,12639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333636.89,0,750459.37,0,1558342.71,1801147.76,0,0,0,0,0
非流动资产合计,3960889956,3970578707,3666946119,3453320274,3317067594,3425359184,3148595357,2983384470,2726734663,2812773361,2827862563,2848380819,2776610765,2696284664,2673710532,2665312590,2616952783,2629707875,2429922613,2453003919,2483058408,2442545751,2132726908,2105682802,2029328789,1979490077,1913465767,1812083365,1769356920,1718766991,1402655116,1328204936,1266698770,1171876432,1058466777,943259562.8,914753234.9,898215737.2,855215800.8,732585588.8,660781987.3,621249051.2,565627646.3,520846563.6,522638811.5,532218642.8,523675334.9,524745201.7,526939844.1,535739804.4,497978955.7,483016797.8,453687149.5,459552864.1,437808527.9,422174105.3,421036818.9,417547502.5,409817295.9,403268408.3,402804089.2,409831789.4,403118536.7,386112279.2,387612086.3,384818972.7,380251839.3,381034932.4,379426956,379496438.8,383204119.6,383350142.9,385981896.1,390811770,394434612.6,400380924.9,406937489.2,411512145.9,421530975.3,434469113.1,467301460.1,486108403.6,501012065.7,521125704.4,535407998.2,542584391.2,577724301.4,593938774.6,626884011.8,595147071.6,537461002.6,530845000,488589776.4,280109766.8,188322909,0
资产总计,21978347605,19778534913,17366462162,15800981512,14953428655,16067772126,14180291229,13547757108,12969295581,11828963704,10264553240,10545702832,10455642162,8939785369,8575784527,8234106173,8136704436,7416626615,6984630600,7075476997,7263144231,6706626658,6137361223,6130949038,5932630255,5786101810,5599627939,5472085922,5982943833,5816694598,5879726602,5788097486,6442478470,6112154801,5611133842,5272054019,5660584751,4911753392,4126668138,3995474538,3799404798,3455810874,2898500078,2610966950,2609774369,2508603109,2422823446,2245163204,2303212170,2115363057,2018360010,1839306269,1777072996,1886483426,1826474117,1911541347,1906702363,1656963088,1672812305,1486132696,1645984099,1334581732,1340099108,1271129197,1261342333,1204121301,1161426560,1118662629,1101959148,1070687358,1056807935,1029317469,1042592310,1027373988,998504266.2,1025335528,1109130971,1103927431,1071492580,1119077113,1092894995,1109556518,1102042725,1118664199,1125129344,1128550301,1168527673,1137120778,1186358383,1151704119,1091872851,1057569000,1092349060,946091479.7,493707883,0
流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000,280000,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,4500000,19700000,19700000,19700000,53300000,98200000,98200000,118200000,141000000,107800000,97800000,93000000,93000000,101000000,85000000,0,80000000,0,113200000,0,107100000,0,41500000,33200000,0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据及应付账款,2461547745,2311442003,2141040031,2072734023,2101492370,2727297192,2021298669,2118333512,2019493503,1343591142,1378571418,1603141316,1609087839,1348126304,0,1311116296,0,913934211.8,0,892222936.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付票据,783397854,856514344.3,663842759.9,445631242.9,428017205.2,753766489.8,606401189,526348384.4,0,489597243.4,0,510043665.9,486827152.5,438904882.9,338447536.6,239471584.7,188227944.8,171962673.9,253648846.7,285668393.3,248470905.7,229492791.5,303989000,303506076.6,244056076.6,242903036,233306871,133592939,125630000,179970670.2,135670670.2,111530000,124550000,130150000,124100000,110150000,90200000,141200000,114250000,52800000,96400000,86300000,53650000,37250000,64550000,64800000,23250000,11600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付账款,1678149891,1454927659,1477197271,1627102780,1673475165,1973530702,1414897480,1591985128,0,853993898.3,0,1093097650,1122260687,909221420.9,931688996.8,1071644711,922502397,741971537.8,519961687.8,606554543.2,614638125,581381522.4,167082158.6,194977998.5,314914354.1,319857068.8,190557928,300787152.2,244934996.6,322945884.9,181241573.2,184858492.6,173747106.4,194703406,121667556.8,149202742.9,142653985.5,130268324.7,74228796.24,167684938.1,58801062.3,94393388.66,37368690.7,60936386.86,37992089.87,64145796.65,48950302.85,40146894.38,23916411.59,43617334.1,22994011.64,22287227.53,24925838.36,62382522.41,21761352.86,30750612.99,27506757.95,36869473.98,17930007.03,11049532.92,29985774.4,27435079.85,12206116.58,3928550.03,20015830.19,31067294.01,9755467.02,16339551.39,8762415.06,31047755.68,8474174.55,12023924.51,13491234.75,17152819.76,4062627.15,5651245.66,3915836.22,22258890.09,6161621.13,17507302.15,13493863.31,22232132.71,13320428.31,21386263.13,17274807.43,23737905.4,0,18726282.05,0,60825636.18,0,12282000,0,93409483.7,2106705,0
预收款项,0,0,0,0,0,2839722778,1840647605,1480767281,1203077713,1653191383,786819426,820077577.7,719270778.1,912190210.9,504281258.8,371422427.4,385598273.3,537710959.4,278036212.1,295623147.9,385879267.2,388603202.7,288804631.8,302741956.9,110839761.3,388820689,291459032,179859696.7,242912563.9,377509382.3,302802947.6,283997921.5,329246137.3,1213443098,533124550,557189919.7,1072178987,1155808093,605090142.5,427119147.7,416694687.9,803084654.3,240387823.2,198665117.9,154182402.3,235560807.5,141463472.2,83908206.86,144090818.2,96593734.62,57614615.86,51882899,29235828.57,4957588.74,16335939.78,21500306.36,26326058.05,35988536.44,29971000.94,23863153.5,66031715.37,35118689.14,11763313.48,10273796.86,9924330.64,14927545.27,7642692.29,11576927.12,15213853.08,15385531.2,7193416,12234933.3,11500883.85,8942422.45,6116357.17,221242.67,221242.67,3366143.83,5236095.95,7267764.28,221242.67,1717185.11,221242.67,1635308.15,231538.35,254008.42,0,1006878.85,0,762153.31,0,0,0,11399291.56,12732693,0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付职工薪酬,748939886.2,1068802948,879258805,699879927.6,650830628.5,825623299.5,600829881.5,595627154.3,490780188.7,443982034.5,618256846.7,564933684.9,584185666.6,486495495.4,478574310.6,440255786.9,384634550.4,377287550.8,417226437.1,495235984.4,468337732.3,373593177.6,386464651.2,424124965.2,370835560.2,339697422.8,346631577.2,298111099,268298488,265850417.4,291269086.1,302440072,274312555.1,225587173.1,296378561.7,239358237.6,208348099.4,152875016.9,174758703.2,170155050.4,109866821.6,59522870.64,91554260.37,83117351.58,56258545.81,65376930.03,43419634.25,46690086.37,35718892.57,64225833.92,26011530.9,21014395.55,6021010.05,45633759.86,69790151.48,69889138.71,69928343.82,53720032.88,44682797.1,42372881.69,40582347.05,48572824.09,34142960.62,33610451.82,36213125.31,30152508.14,28778434.5,27983030.07,29371847.56,28463812.32,26544702.55,29676343.06,28926896.52,30488474.77,30230767.27,29679051.13,29288089.48,31019917.13,30947083.38,60985137.77,51808860.32,53477689.67,38247189.41,45544915.35,31841177.64,38535042.32,0,6725474.39,0,5108527.41,0,5189000,0,0,24420504,0
应交税费,1261114359,1795736203,882243009.6,705105358.3,370114138.6,1169534434,653658314.8,382066649.9,713089662.1,1278210210,554754602.9,509038042.2,745394219,567776458.1,548795954.4,387605817,467834262.2,473994045.5,368510381,318721056.2,404035800.7,361350770.8,256638722.5,302735237.5,315734963.2,295605736.1,316426372.1,363109998.6,551541687.5,560374609.9,618120933.1,568980138,774060908.1,534767813.3,606679197.4,575274691.5,625123984.5,595644733,385793113.3,483489560.5,458112810.8,255041521.7,253911000,193444993.7,238823015.1,191592217.3,215832836,227896236.5,229632612.9,243524625.7,258298671.3,202851905.8,257275947.4,336286476.1,394096330.9,357192543,358443058.6,189541321.4,228561834.7,144171318.2,220802964,108138826,146816822,104341586.7,96267116.58,107883701.6,82849772.42,54538747.17,53811283.01,52656773.19,63767500.3,32500540.15,40433737.51,50375529.19,33256242.77,15319066.49,46207149.4,40079353.73,22859847.51,24316385.17,22870993.86,31682593.53,35473904.74,43620217.05,47390220.38,58767858.17,0,56878486.56,0,48158337.32,0,36477000,0,20758102.06,10249535,0
其他应付款(合计),1856267778,942505641.9,1369821272,1652836126,1304364563,826483971.4,1363222058,1850383239,1072391088,590515680.5,767874339.9,1243940276,678486575.1,269341920.7,0,739867842.9,0,266022015.2,0,504242212.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应付股利,0,2436988.96,2436988.96,462649719.4,6857466.46,6857466.46,386892947.7,656083188.5,5973370.96,5973370.96,5973370.96,421945948.6,2436988.96,2436988.96,2436988.96,278653535.3,2549564.96,2549564.96,4435635.36,179508434.1,2436988.96,2436988.96,2436988.96,2436988.96,2436988.96,2436988.96,2520988.96,2520988.96,2436988.96,2436988.96,7394564.96,210471224.2,2487388.96,2487388.96,2487388.96,8885603.51,7798975.35,7798975.36,7858975.36,13038020.33,6733162.86,6733162.86,6733162.86,112553272.9,4492360.25,4502440.25,59431430.05,127655213.5,4498160.25,4519580.25,4633700.25,73965539.88,4773918.6,4824158.6,4961806.6,165599456.7,5423900.6,5550500.6,26888556,29701547.8,3331569.2,3478049.2,8265190.64,40679699.19,2060906.8,2867039.4,2938908.21,8475243.14,1374103.83,1378903.83,2357118.63,6843369.42,12250995.87,1877698,5683777.06,25389238.38,26309447.98,26309447.98,334000,334000,334000,11834000,29834000,29834000,41768730.64,43302413.3,0,63255289.96,0,37669479.88,0,0,0,0,0,0
其他应付款,0,940068652.9,0,1190186407,0,819626504.9,0,1194300050,0,584542309.5,0,821994327.5,676049586.2,266904931.7,563448872,461214307.6,441533024.9,263472450.2,472665935.2,324733778.3,333968072.4,272597089.8,403579830.7,353372097.4,396937481.4,261071921.6,236184051.7,253963826.4,316030470,231431788.5,227139527.3,217705927.6,362744796.7,186407333.7,391804202.1,370853779.6,339405065.3,146843502,174400679.9,174843166.2,122313137.2,91118821.14,111287616,77972683.28,77483153.34,90471090.7,87750443.69,80584634.36,80273399.06,75472033.73,65724282.6,62223178.66,32086368.24,30328632.01,40213583.04,45541623.36,42963177.67,49706128.77,37541832.68,36157421.7,31820131.15,32392484.23,32027134.97,29139750.02,30508935.26,28989576.19,23139108.36,22149211.74,19538031.67,20608698.9,21521887.03,19949056.74,17403808.27,22627359.83,15674109.61,13880775.21,11218332.41,10956998.88,10050587.73,8581974.62,23136039.44,27060197,15593205.75,17310665.55,19319840.02,17323792.56,0,24237963.4,0,35984752.9,0,4322000,0,36116885.39,52708643,0
